day_month;JL_mean;Jtot_mean;thetao_mean
29-set;0,348913195;6767794709473382;17,60502049
30-set;0,347534204;6722883327218483;17,58791495
01-ott;0,346525506;6677846847726899;17,57399372
02-ott;0,345487199;6631653669222093;17,56038086
03-ott;0,344941649;6588109672554701;17,54460808
04-ott;0,344274548;6544343574406656;17,52556415
05-ott;0,343123683;6501123766574592;17,50679345
06-ott;0,342267941;6458627095965798;17,48693238
07-ott;0,341779567;6416617834350490;17,46145365
08-ott;0,341216918;6372762120414618;17,43291039
09-ott;0,340637536;6327246552905523;17,40426785
10-ott;0,340344581;6287443193362125;17,38039471
11-ott;0,339759695;6247984140559974;17,3629622
12-ott;0,33835439;6208026019734221;17,34586709
13-ott;0,336056713;6169174713623654;17,32738232
14-ott;0,333422777;6129748080091955;17,30648198
15-ott;0,330745808;6092012708969779;17,28389981
16-ott;0,328255569;6058692152082022;17,26089721
17-ott;0,326466788;6024971167257190;17,23613601
18-ott;0,324506297;5989757276896973;17,21311676
19-ott;0,322080161;5958320031212442;17,18813966
20-ott;0,31942752;5923941935984538;17,16334928
21-ott;0,316937641;5889528573071360;17,14025994
22-ott;0,314713158;5858645666175795;17,10718887
23-ott;0,312610684;5824944781375898;17,07623801
24-ott;0,311077825;5792405306917171;17,04595465
25-ott;0,30981002;5760331108920525;17,01397782
26-ott;0,308225406;5728353606455194;16,98748246
27-ott;0,306571705;5697018932734362;16,96117808
28-ott;0,305012727;5665173988097331;16,92816902
29-ott;0,30340022;5631946830244352;16,89824326
30-ott;0,301583468;5598253328893850;16,86845799
31-ott;0,300034221;5570953768390554;16,83697379
01-nov;0,298291394;5551856144336282;16,80917341
02-nov;0,296495635;5530360565709312;16,78014448
03-nov;0,295514424;5501907820011520;16,75269368
04-nov;0,295188469;5471766971617075;16,72056723
05-nov;0,295057446;5443421685554995;16,68970123
06-nov;0,295144208;5415250043606733;16,65326705
07-nov;0,295616847;5389837219378381;16,61735473
08-nov;0,29589639;5364328084616602;16,58200094
09-nov;0,295660259;5338191229434880;16,54931358
10-nov;0,294395604;5312559489622016;16,51774407
11-nov;0,292222371;5285300332847923;16,48628139
12-nov;0,289768829;5257734892648960;16,45004247
13-nov;0,286966017;5232163960791040;16,41714317
14-nov;0,284463271;5207170441068339;16,37761965
15-nov;0,281948898;5179919323840512;16,33867791
16-nov;0,279629027;5156033097416806;16,30101941
17-nov;0,277518559;5132324367921050;16,26358503
18-nov;0,275201396;5102561429767885;16,21578119
19-nov;0,272994081;5068644328890675;16,16987724
20-nov;0,270934637;5032480489026150;16,1186543
21-nov;0,26948755;4999949291013530;16,07003171
22-nov;0,268231455;4966882960610099;16,01953015
23-nov;0,267287411;4934293698524058;15,97066961
24-nov;0,266174122;4902356380888883;15,92351443
25-nov;0,264780829;4865995411743642;15,88275825
26-nov;0,263373288;4828191079987814;15,84230646
27-nov;0,262300734;4791816095982285;15,79684573
28-nov;0,261618954;4757043204601344;15,75394018
29-nov;0,260537866;4723033111482778;15,7093048
30-nov;0,259343328;4695783139337421;15,66621548
01-dic;0,258520639;4668505002788966;15,62424109
02-dic;0,258395049;4636933812900762;15,57606117
03-dic;0,259146346;4602931987725926;15,53194584
04-dic;0,260389552;4570481501341389;15,49652942
05-dic;0,261949546;4537850092532224;15,4618428
06-dic;0,263147668;4501381890954035;15,41976083
07-dic;0,263650013;4465778103059354;15,37224197
08-dic;0,264419471;4431350161672807;15,32712668
09-dic;0,265076367;4395884525178368;15,27419728
10-dic;0,265187827;4359536943989248;15,21779003
11-dic;0,264440044;4325067790945383;15,1683981
12-dic;0,263233491;4293850497685504;15,12879146
13-dic;0,261641838;4260606595582362;15,08732919
14-dic;0,259368185;4225062731016090;15,04221867
15-dic;0,256738135;4194758780297011;15,0022322
16-dic;0,254232736;4165625775441511;14,95571204
17-dic;0,252218867;4132424671470183;14,90456367
18-dic;0,250182063;4093030528289587;14,85744677
19-dic;0,248074888;4051534339587482;14,80683791
20-dic;0,246093003;4014756827420775;14,76492449
21-dic;0,243950358;3984674527300813;14,72344866
22-dic;0,240969178;3955007145230131;14,68027627
23-dic;0,237409563;3924636482153370;14,64123051
24-dic;0,234051385;3894580493630464;14,60684984
25-dic;0,230832019;3862644641823027;14,57403476
26-dic;0,223160986;3830924151724442;14,53391702
27-dic;0,214562992;3801897991807591;14,49352578
28-dic;0,20647157;3775310955190119;14,44944453
29-dic;0,198476202;3743137462520525;14,39990522
30-dic;0,190564297;3707853518697831;14,35789324
31-dic;0,183054673;3678752155775591;14,32065671
